,0,Total Mass (Mearth)
0,18,6.869045988
1,15,12.373114991
2,20,5.53046652
3,20,0.405817481
4,17,4.424021585
5,18,6.521880033
6,19,10.071406708
7,20,1.633051926
8,15,3.837250078
9,20,0.407869836
10,20,4.583088912
11,20,0.341130944
12,20,1.1448484190000001
13,13,10.877103096999999
14,20,2.169560647
15,19,3.644776412
16,20,1.685710077
17,20,2.383150773
18,20,0.48646168700000003
19,20,0.40754331
20,17,3.9890114170000004
21,19,5.68816554
22,20,1.583128528
23,20,0.719060421
24,20,2.879646821
25,18,7.6051399989999995
26,20,1.984380886
27,20,3.571103037
28,20,1.0059900769999999
29,20,0.939963666
30,20,0.936814216
31,17,10.890408413
32,15,10.446241083
33,20,1.008175787
34,19,7.790590680999999
35,20,1.211542768
36,19,3.567352701
37,20,1.044714651
38,19,4.122679604
39,20,1.342539434
40,17,3.001742999
41,20,0.786620018
42,18,7.976294198
43,20,0.810131805
44,14,6.467723809
45,20,0.646660188
46,20,0.403039632
47,14,6.502184316
48,20,2.726200852
49,17,3.655973706
50,20,2.81280898
51,19,1.377238724
52,20,0.962534857
53,20,0.672276873
54,20,3.808115124
55,18,9.261367736
56,20,0.435345371
57,20,1.459149706
58,20,0.81490111
59,20,1.733806554
60,20,0.872315704
61,20,0.647308854
62,15,13.403439813
63,20,1.51274245
64,19,4.8420938
65,20,1.392429108
66,20,1.185563139
67,19,2.613229104
68,20,1.005456899
69,20,5.892200539
70,20,6.879267546
71,19,2.190217658
72,19,1.16053603
73,18,5.6369531219999995
74,20,2.999147181
75,19,4.010010171
76,16,2.07496334
77,18,1.267601108
78,12,24.833686823
79,20,0.517931533
80,17,2.139428892
81,20,1.991454301
82,17,3.5798256509999997
83,20,2.560111348
84,20,1.120419265
85,20,0.992845607
86,20,0.880300072
87,20,1.27554599
88,20,1.681479096
89,19,7.707921435
90,20,2.288236624
91,20,0.513995531
92,20,1.022362594
93,20,2.746042113
94,20,0.473410825
95,20,0.663234011
96,20,1.782165682
97,20,2.912154229
98,20,1.8303816839999998
99,19,7.303961184
100,20,1.306767454
101,20,1.792658741
102,20,3.253035799
103,20,1.376493428
104,20,1.699226489
105,20,0.533533374
106,20,2.776158736
107,20,0.592135716
108,18,4.104200553
109,20,0.5412577789999999
110,19,5.739648584
111,20,5.861787653
112,15,8.250299342
113,20,3.466945892
114,20,0.639889783
115,20,2.255008931
116,20,1.274501763
117,20,1.907387802
118,20,1.128523297
119,20,1.430469001
120,19,6.490601261
121,20,3.553142231
122,20,2.85099009
123,19,2.251048413
124,20,3.129882388
